Item,Description,Quantity,Unit Price($),Total Price($),URL,
XIAO ESP32 S3,Flight Controller ,1,8.27,8.27,https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?_pos=1&_psq=xiao&_ss=e&_v=1.0,
55 mm Blade Propeller Prop with 8520 CW & CCW Coreless Brushed Motor,Motors and propeller,1 set,5.54,5.54,https://robu.in/product/55mm-blade-propeller-prop-8520-cw-ccw-brushed-motor-indoor-racing-drone-quad-copter/,
1N SI2300 MOSFET,To drive motor ,4,0.046,0.19,https://robu.in/product/si2300-hxy-mosfet-20v-6a-350mw-27mω4-5v-500mv-1-n-channel-sot-23-mosfets-rohs/,
1N4148 SMD,Diode,4,0.026,0.10,https://robu.in/product/ac1206fr-0710kl-yageo-res-thick-film-1206-10k-ohm-1-0-25w1-4w-±100ppm-c-pad-smd-t-r-automotive-aec-q200/,
10k ohm SMD,Resister,4,0.0052,0.021,,
MPU6050,Gyro and accelerometer,1,1.82,1.82,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/,
1S 300mah battery,Battery,1,1.88,1.88,https://robu.in/product/wly702025-300mah-3-7v-single-cell-rechargeable-lipo-battery/,
RadioMaster XR2 Nano ,ELRS recover,1,12.12,12.12,https://rcmumbai.com/products/radiomaster-xr2-nano-2-4ghz-expresslrs-receiver?variant=51157265219865&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorjJxUQtDCWYgvOCSd8MDd0VRZpAQZHwYVtLdvj7ix3GP4Ts0W8wNE,
PCB,Pcb,5,0.58,2.90,,
Frame,3d printing,1,0.9,0.9,,
,,,Shipment,13,,
,,,Total=,47.12~48,,
